rel_path,raw_match,verdict
candidate_tracker/attempt_1/candidate_tracker_alerts.csv,True,IDENTICAL
candidate_tracker/attempt_1/candidate_tracker_current.csv,True,IDENTICAL
candidates/attempt_1/final_candidates.csv,True,IDENTICAL
execute/attempt_1/positions.csv,True,IDENTICAL
execute/attempt_1/trade_actions.csv,True,IDENTICAL
investigator/attempt_1/stage1_current_state.csv,False,CONTENT_EQUIVALENT
investigator/attempt_1/stage1_invalidations.csv,True,IDENTICAL
investigator/attempt_1/stage1_regressions.csv,True,IDENTICAL
investigator/attempt_1/stage1_stale_candidates.csv,True,IDENTICAL
investigator/attempt_1/stage1_transitions.csv,True,IDENTICAL
investigator/attempt_1/stage1_watchlist.csv,False,CONTENT_EQUIVALENT
opportunities/attempt_1/candidate_admissions.csv,True,IDENTICAL
opportunities/attempt_1/candidate_closures.csv,True,IDENTICAL
opportunities/attempt_1/candidate_transitions.csv,True,IDENTICAL
opportunities/attempt_1/current_candidate_state.csv,True,IDENTICAL
rank/attempt_1/pattern_scan.csv,True,IDENTICAL
scan_router/attempt_1/stage_discovery_candidates.csv,True,IDENTICAL
